id,last_name,first_name,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,price_fanduel,price_yahoo,price_draftkings,price_draftday,price_starstreet,price_fantasyfeud,price_fanthrowdown,price_starfantasyleagues,price_fantasyaces,positions_fanduel,positions_yahoo,positions_draftkings,positions_draftday,positions_starstreet,positions_fantasyfeud,positions_fanthrowdown,positions_starfantasyleagues,positions_fantasyaces
3640,Davis,Anthony,NOR,PF,@ DEN,39.00,27.41,0.37,11.21,1.84,1.91,3.70,2.02,9.83,6.65,1.87,10.20,8.25,0.65,0.00,10400,57,10300,18500,0,153400,0,19200,7300,PF,PF,PF,PF;C,,,,F,F
3153,Cousins,DeMarcus,SAC,C,@ TOR,36.00,26.19,1.37,12.84,3.30,1.13,1.42,3.90,7.69,6.69,2.08,9.07,11.73,0.76,0.02,9900,51,10000,18350,0,141900,0,18300,7350,C,C,PF,PF;C,,C,,C,C
2011,James,LeBron,CLE,SF,PHI,31.00,23.90,1.18,6.81,6.60,1.28,0.76,3.15,7.55,5.25,2.17,8.73,7.47,0.11,0.01,10500,52,10100,20150,0,182000,0,20200,7500,SF,SF,SF,SF;PF,,,,F,F
3114,Bledsoe,Eric,PHO,SG,MIL,36.00,22.41,1.44,4.50,7.27,1.80,0.52,3.41,6.05,5.98,1.62,7.49,8.50,0.31,0.01,8900,44,8400,16850,0,148100,0,17200,6050,SG,PG,SG,PG;SG,,,,G,G
2615,Lowry,Kyle,TOR,PG,SAC,36.00,19.55,3.04,4.95,7.14,2.42,0.27,2.89,3.15,4.13,0.78,6.19,8.65,0.31,0.01,8900,46,8300,15450,0,133200,0,16700,5900,PG,PG,PG,PG,,,,G,G
3154,Whiteside,Hassan,MIA,C,POR,28.00,14.78,0.00,12.53,0.25,0.47,3.79,1.46,5.97,2.85,2.83,5.97,3.25,0.64,0.00,7200,33,6600,12650,0,107700,0,14800,5350,C,C,C,C,,C,,C,C
2621,Millsap,Paul,ATL,PF,@ ORL,33.00,15.03,1.01,8.39,3.93,1.83,1.13,2.43,4.06,3.86,1.17,5.08,6.75,0.33,0.01,8300,40,8000,15450,0,131800,0,16900,5800,PF,PF,PF,PF;C,,,,F,F
2846,Lopez,Brook,BKN,C,MIN,32.00,21.02,0.00,7.44,1.35,0.61,1.93,1.90,8.42,4.18,0.98,8.42,6.40,0.31,0.00,7700,31,6700,13150,0,112700,0,14000,5450,C,C,C,C,,C,,C,C
1916,Bosh,Chris,MIA,PF,POR,33.00,19.59,1.42,7.89,2.34,0.81,0.82,1.40,5.20,4.93,1.27,6.62,7.44,0.31,0.00,7100,36,6900,13200,0,110000,0,13900,5450,PF,PF,PF,PF;C,,,,C,C
2446,Jack,Jarrett,BKN,PG,MIN,35.00,17.03,1.15,4.39,7.47,1.11,0.27,3.10,4.70,4.18,0.60,5.85,6.91,0.30,0.01,6900,26,6500,12750,0,115000,0,13800,4950,PG,PG,PG,PG;SG,,,,G,G
3375,Knight,Brandon,PHO,PG,MIL,35.00,18.48,2.40,3.89,5.84,1.78,0.25,3.04,3.85,3.57,0.71,6.26,9.16,0.07,0.00,7200,37,7300,14100,0,115300,0,13700,5100,PG,SG,PG,PG;SG,,,,G,G
3006,DeRozan,DeMar,TOR,SG,SAC,36.00,22.13,0.54,4.34,4.41,1.14,0.19,2.79,6.55,7.39,1.29,7.10,10.01,0.03,0.00,8000,33,7200,14500,0,137600,0,15200,5800,SG,SG,SG,SG;SF,,,,G,G
3542,Lillard,Damian,POR,PG,@ MIA,35.00,21.24,2.07,3.11,5.69,1.04,0.11,2.70,5.36,4.29,0.60,7.44,10.92,0.07,0.00,8900,48,8800,16550,0,127600,0,16200,6350,PG,PG,PG,PG,,,,G,G
2848,Love,Kevin,CLE,PF,PHI,28.00,16.87,2.82,8.94,2.54,0.71,0.66,1.66,2.68,3.05,0.69,5.50,5.73,0.35,0.00,8100,41,8000,14700,0,125500,0,15000,5700,PF,PF,PF,PF;C,,,,F,F
2633,Rondo,Rajon,SAC,PG,@ TOR,37.00,10.03,0.70,6.48,10.33,1.19,0.12,3.76,3.53,0.86,0.72,4.23,7.26,0.34,0.04,8600,41,8600,15600,0,132800,0,17800,5900,PG,PG,PG,PG,,,,G,G
3000,Evans,Tyreke,NOR,PG,@ DEN,34.00,15.02,1.00,4.91,7.39,1.13,0.59,2.98,4.97,2.07,0.75,5.97,7.92,0.27,0.01,7000,33,7600,14100,0,116300,0,13100,5700,PG,PG,SG,PG;SG,,,,F,G
3046,Rubio,Ricky,MIN,PG,@ BKN,31.00,9.96,0.49,4.46,9.59,2.82,0.04,2.44,2.70,3.08,0.68,3.19,5.53,0.24,0.01,7200,29,7300,13550,0,119100,0,14800,5200,PG,PG,PG,PG,,,,G,G
2824,Gallinari,Danilo,DEN,SF,NOR,35.00,19.27,1.84,6.15,2.76,0.91,0.58,1.21,3.63,6.50,0.87,5.47,8.05,0.11,0.00,6800,30,6700,13000,0,117100,0,13300,5200,SF,SF,SF,SF,,,,F,F
