id,last_name,first_name,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,price_fanduel,price_yahoo,price_draftkings,price_draftday,price_starstreet,price_fantasyfeud,price_fanthrowdown,price_starfantasyleagues,price_fantasyaces,positions_fanduel,positions_yahoo,positions_draftkings,positions_draftday,positions_starstreet,positions_fantasyfeud,positions_fanthrowdown,positions_starfantasyleagues,positions_fantasyaces
2999,Curry,Stephen,GSW,PG,PHO,33.00,30.67,5.67,4.66,7.08,3.00,0.10,3.59,4.68,4.30,0.37,10.35,10.01,0.31,0.01,11100,58,10700,21600,0,185700,0,21400,7700,PG,PG,PG,PG;SG,,,,G,G
2872,Westbrook,Russell,OKC,PG,POR,36.00,25.47,1.77,5.92,9.08,1.81,0.28,4.08,6.36,7.46,1.47,8.13,11.56,0.49,0.03,10800,56,10400,21300,0,181200,0,21700,7500,PG,PG,PG,PG,,,,G,G
2718,Durant,Kevin,OKC,SF,POR,37.00,28.46,2.47,6.97,3.66,1.00,1.65,2.68,6.83,7.39,0.96,9.30,8.23,0.11,0.00,10300,52,10200,19700,0,165000,0,20100,7350,SF,SF,SF,SF;PF,,,,F,F
3640,Davis,Anthony,NOR,PF,@ UTA,39.00,25.51,0.52,8.58,1.63,1.76,2.60,2.01,9.11,5.74,1.44,9.62,8.15,0.38,0.00,10700,56,10600,19050,0,155500,0,19900,7450,PF,PF,PF,PF;C,,,,F,F
3464,Drummond,Andre,DET,C,BOS,35.00,17.12,0.00,16.95,1.22,1.26,1.87,2.38,7.36,2.40,3.45,7.36,7.65,0.87,0.00,9100,46,9100,17150,0,150600,0,19000,6600,C,C,C,PF;C,,C,,C,C
2997,Griffin,Blake,LAC,PF,MIL,36.00,24.29,0.20,9.29,4.72,0.90,0.83,2.98,9.24,5.22,2.08,9.44,9.17,0.49,0.01,9400,49,9000,17100,0,154900,0,18600,6750,PF,PF,PF,PF;C,,,,F,F
3542,Lillard,Damian,POR,PG,@ OKC,37.00,25.24,2.97,4.93,6.19,1.41,0.19,2.91,5.83,4.66,0.67,8.80,11.66,0.11,0.00,9200,46,9200,16700,0,141900,0,16300,6550,PG,PG,PG,PG,,,,G,G
3111,George,Paul,IND,SF,DAL,33.00,23.76,2.55,7.36,4.59,1.36,0.25,3.16,5.97,4.17,0.79,8.52,9.94,0.31,0.01,9400,51,9700,17450,0,152200,0,17700,6800,SF,PF,SF,SF;PF,,,,F,F
2621,Millsap,Paul,ATL,PF,PHI,33.00,18.70,1.17,9.36,3.95,1.91,1.40,2.84,5.04,5.12,1.62,6.21,5.92,0.49,0.01,8300,40,8000,15600,0,141100,0,17300,5900,PF,PF,PF,PF;C,,,,F,F
3166,Wall,John,WAS,PG,@ SAS,37.00,18.88,0.96,4.15,9.63,1.78,0.56,3.50,6.02,3.96,0.99,6.98,10.83,0.49,0.01,9600,46,9500,18100,0,153400,0,19000,6550,PG,PG,PG,PG,,,,G,G
2003,Anthony,Carmelo,NYK,SF,MIN,37.00,24.93,1.98,7.44,2.57,1.10,0.58,1.90,6.46,6.10,1.16,8.43,11.07,0.31,0.00,8400,39,8000,15600,0,135100,0,14800,6300,SF,SF,SF,SF;PF,,,,F,F
2464,Paul,Chris,LAC,PG,MIL,32.00,17.04,1.21,3.31,10.10,1.61,0.00,2.43,4.78,3.84,0.50,5.99,6.16,0.56,0.01,8400,43,7900,15850,0,119600,0,15300,5950,PG,PG,PG,PG,,,,G,G
3487,Green,Draymond,GSW,PF,PHO,34.00,12.18,1.55,8.31,7.91,1.46,1.31,3.28,2.63,2.25,1.04,4.19,5.22,0.29,0.09,8800,40,8500,16400,0,151800,0,17400,6250,PF,PF,PF,SF;PF,,,,F,F
