id,last_name,first_name,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,price_fanduel,price_yahoo,price_draftkings,price_draftday,price_starstreet,price_fantasyfeud,price_fanthrowdown,price_starfantasyleagues,price_fantasyaces,positions_fanduel,positions_yahoo,positions_draftkings,positions_draftday,positions_starstreet,positions_fantasyfeud,positions_fanthrowdown,positions_starfantasyleagues,positions_fantasyaces
3153,Cousins,DeMarcus,SAC,C,GSW,34.00,25.72,0.86,11.50,3.77,1.54,1.31,3.81,7.80,7.53,2.39,8.66,11.24,0.65,0.01,10500,48,10200,20500,0,157700,0,18900,7200,C,C,PF,PF;C,,C,,C,C
2086,Gasol,Pau,CHI,PF,@ ATL,35.00,19.81,0.25,12.93,3.82,0.49,1.71,2.11,7.29,4.50,1.30,7.53,7.07,0.76,0.02,9000,39,8200,16550,0,139300,0,17200,5800,PF,C,C,PF;C,,C,,F,F
2464,Paul,Chris,LAC,PG,CHA,33.00,19.97,1.62,3.87,11.47,1.76,0.06,2.67,5.84,3.46,0.38,7.45,8.64,0.65,0.01,9300,45,9200,17200,0,137300,0,16200,6650,PG,PG,PG,PG,,,,G,G
2999,Curry,Stephen,GSW,PG,@ SAC,31.00,25.99,5.08,4.61,5.95,2.00,0.08,3.11,3.54,3.67,0.33,8.62,8.92,0.07,0.00,10500,55,10500,19300,0,147600,0,18300,7450,PG,PG,PG,PG;SG,,,,G,G
3166,Wall,John,WAS,PG,@ ORL,37.00,20.25,1.50,4.51,10.44,1.76,0.73,4.93,6.06,3.63,0.90,7.56,9.98,0.58,0.02,9800,52,9400,17850,0,142900,0,16400,6450,PG,PG,PG,PG,,,,G,G
3464,Drummond,Andre,DET,C,BKN,33.00,17.88,0.00,15.21,1.07,1.27,1.99,2.06,7.66,2.57,3.91,7.66,6.85,0.84,0.00,8900,46,8900,16300,0,137000,0,17000,6700,C,C,C,PF;C,,C,,C,C
3487,Green,Draymond,GSW,PF,@ SAC,33.00,14.65,1.44,9.07,6.80,1.63,1.53,2.65,3.76,2.82,1.27,5.20,5.89,0.41,0.05,9700,50,10000,17900,0,158500,0,18000,6900,PF,PF,PF,SF;PF,,,,F,F
2841,Jordan,DeAndre,LAC,C,CHA,34.00,12.54,0.00,15.51,1.00,0.73,2.41,1.29,4.79,2.96,4.39,4.79,1.99,0.66,0.00,8000,35,8100,15300,0,125300,0,15200,6000,C,C,C,C,,C,,C,C
2621,Millsap,Paul,ATL,PF,CHI,33.00,18.45,0.80,8.98,3.08,1.70,1.03,1.94,5.92,4.23,1.24,6.71,7.62,0.38,0.01,8400,42,8400,16250,0,141300,0,16300,5700,PF,PF,PF,PF;C,,,,F,F
2633,Rondo,Rajon,SAC,PG,GSW,36.00,11.29,0.63,6.25,10.68,2.21,0.08,3.96,4.15,1.11,0.96,4.77,6.29,0.38,0.04,8300,41,8400,15100,0,128300,0,16500,5900,PG,PG,PG,PG,,,,G,G
2615,Lowry,Kyle,TOR,PG,@ PHI,35.00,18.48,2.01,4.92,5.93,1.92,0.59,3.28,4.27,3.90,0.71,6.28,8.95,0.07,0.00,9000,44,8600,16600,0,140000,0,16300,5900,PG,PG,PG,PG,,,,G,G
3370,Jackson,Reggie,DET,PG,BKN,30.00,18.64,1.26,4.12,7.76,1.18,0.06,2.70,5.74,3.38,0.63,7.00,8.84,0.31,0.01,7300,36,7100,14150,0,114300,0,13000,5500,PG,PG,PG,PG;SG,,,,G,G
2846,Lopez,Brook,BKN,C,@ DET,35.00,20.66,0.00,8.05,1.37,0.68,1.81,2.37,8.93,2.80,0.66,8.93,8.17,0.38,0.00,8700,35,7900,15850,0,141100,0,15400,6200,C,C,C,C,,C,,C,C
3357,Butler,Jimmy,CHI,SG,@ ATL,38.00,20.84,1.52,4.51,3.95,1.78,0.64,1.92,5.75,4.79,1.04,7.26,8.64,0.03,0.00,8600,41,8300,16050,0,138300,0,16300,6200,SG,SG,SG,SG;SF,,,,G,G
3404,Vucevic,Nikola,ORL,C,WAS,32.00,17.27,0.00,9.58,2.95,0.80,0.83,1.72,7.98,1.32,0.47,7.98,7.33,0.47,0.00,7400,36,7000,12900,0,100900,0,13000,5700,C,C,C,PF;C,,C,,C,C
3399,Thompson,Klay,GSW,SG,@ SAC,34.00,22.98,4.23,3.54,2.95,0.91,0.90,2.17,3.83,2.65,0.49,8.05,9.19,0.02,0.00,7800,32,8000,14350,0,117200,0,12300,5450,SG,SG,SG,SG;SF,,,,G,G
2810,Batum,Nicolas,CHA,SF,@ LAC,38.00,16.01,1.87,7.35,5.12,1.20,0.49,2.81,3.49,3.42,0.63,5.36,8.25,0.28,0.02,7400,32,7500,14700,0,118600,0,13500,5350,SF,SG,SF,SG;SF,,,,F,F
